Nname	value	region
Niger	47.28	Africa
Angola	42.22	Africa
Mali	41.6	Africa
Uganda	41.6	Africa
Benin	41.55	Africa
Chad	41.05	Africa
Congo, Democratic Republic of the	40.53	Africa
South Sudan	38.26	Africa
Somalia	38.25	Africa
Mozambique	38.03	Africa
Liberia	36.96	Africa
Guinea-Bissau	36.64	Africa
Afghanistan	36.08	South Asia
Cameroon	35.91	Africa
Guinea	35.86	Africa
Burundi	35.48	Africa
Zambia	35.23	Africa
Sierra Leone	35.04	Africa
Nigeria	34.38	Africa
Burkina Faso	34.34	Africa
Tanzania	33.71	Africa
Sudan	33.63	Africa
Zimbabwe	33.34	Africa
Central African Republic	33.2	Africa
Togo	32.34	Africa
Congo, Republic of the	32.15	Africa
Timor-Leste	31.45	East Asia/Southeast Asia
Senegal	31.31	Africa
Ethiopia	31.03	Africa
Equatorial Guinea	30.09	Africa
Madagascar	29.22	Africa
Ghana	29.08	Africa
Sao Tome and Principe	28.94	Africa
Cote d'Ivoire	28.67	Africa
Malawi	28.59	Africa
Mauritania	28.49	Africa
Gaza Strip	28.1	Middle East
Eritrea	27.41	Africa
Rwanda	27.18	Africa
Pakistan	26.95	South Asia
Kenya	26.78	Africa
Egypt	26.44	Africa
Gambia, The	26.42	Africa
Gabon	26.14	Africa
Namibia	25.33	Africa
Iraq	25.21	Middle East
Yemen	25.21	Middle East
West Bank	24.8	Middle East
Eswatini	23.87	Africa
Lesotho	23.3	Africa
Syria	23.25	Middle East
Solomon Islands	23.07	Australia - Oceania
Comoros	22.98	Africa
Tuvalu	22.97	Australia - Oceania
Guatemala	22.79	Central America
Jordan	22.79	Middle East
Laos	22.74	East Asia/Southeast Asia
Philippines	22.66	East Asia/Southeast Asia
Oman	22.58	Middle East
Djibouti	22.43	Africa
Marshall Islands	22.42	Australia - Oceania
Libya	22.23	Africa
Papua New Guinea	22.08	East Asia/Southeast Asia
Vanuatu	21.95	Australia - Oceania
Belize	21.62	Central America
Nauru	21.49	Australia - Oceania
Haiti	21.4	Central America
Tajikistan	21.22	Central Asia
Cambodia	20.84	East Asia/Southeast Asia
Botswana	20.6	Africa
Tonga	20.6	Australia - Oceania
Bolivia	20.36	South America
Kiribati	20.27	Australia - Oceania
Kyrgyzstan	20.06	Central Asia
Samoa	19.32	Australia - Oceania
Algeria	19.24	Africa
South Africa	18.89	Africa
Cabo Verde	18.78	Africa
Guam	18.76	Australia - Oceania
Micronesia, Federated States of	18.65	Australia - Oceania
Dominican Republic	18.24	Central America
El Salvador	18.22	Central America
Honduras	18.19	Central America
Kuwait	17.9	Middle East
Bangladesh	17.88	South Asia
Turkmenistan	17.85	Central Asia
Nepal	17.78	South Asia
Morocco	17.58	Africa
Venezuela	17.55	South America
India	17.53	South Asia
Israel	17.52	Middle East
Mexico	17.29	North America
American Samoa	17.19	Australia - Oceania
Fiji	16.9	Australia - Oceania
Ecuador	16.71	South America
Nicaragua	16.71	Central America
Panama	16.67	Central America
Peru	16.67	South America
Burma	16.65	East Asia/Southeast Asia
Guyana	16.64	South America
Colombia	16.51	South America
Paraguay	16.43	South America
Mongolia	16.32	East Asia/Southeast Asia
Brunei	16.3	East Asia/Southeast Asia
Bhutan	16.17	South Asia
Vietnam	16.04	East Asia/Southeast Asia
Jamaica	16.03	Central America
Kazakhstan	15.87	Central Asia
Uzbekistan	15.85	Central Asia
Argentina	15.8	South America
Iran	15.78	Middle East
Maldives	15.69	South Asia
Indonesia	15.59	East Asia/Southeast Asia
Northern Mariana Islands	15.31	Australia - Oceania
Antigua and Barbuda	15.3	Central America
Tunisia	15.21	Africa
Kosovo	15.05	Europe
Faroe Islands	14.92	Europe
Bahamas, The	14.78	Central America
Malaysia	14.72	East Asia/Southeast Asia
Suriname	14.7	South America
Saudi Arabia	14.56	Middle East
Turkey	14.54	Middle East
Costa Rica	14.53	Central America
Korea, North	14.35	East Asia/Southeast Asia
New Caledonia	14.28	Australia - Oceania
Grenada	14.27	Central America
Saint Martin	14.2	Central America
Dominica	14.16	Central America
Azerbaijan	14.03	Middle East
Sri Lanka	14.01	South Asia
Gibraltar	13.99	Europe
Greenland	13.88	North America
Turks and Caicos Islands	13.86	Central America
French Polynesia	13.69	Australia - Oceania
Brazil	13.44	South America
Lebanon	13.35	Middle East
Curacao	13.29	Central America
Iceland	13.12	Europe
Chile	12.92	South America
Albania	12.86	Europe
Cook Islands	12.85	Australia - Oceania
New Zealand	12.83	Australia - Oceania
Sint Maarten	12.75	Central America
Uruguay	12.75	South America
Seychelles	12.63	Africa
Ireland	12.6	Europe
Bahrain	12.5	Middle East
Wallis and Futuna	12.49	Australia - Oceania
Jersey	12.46	Europe
Mauritius	12.44	Africa
Saint Vincent and the Grenadines	12.44	Central America
Saint Kitts and Nevis	12.43	Central America
Australia	12.35	Australia - Oceania
United States	12.33	North America
Saint Lucia	12.27	Central America
Anguilla	12.12	Central America
Norway	12.09	Europe
Aruba	11.95	Central America
Sweden	11.93	Europe
Virgin Islands	11.84	Central America
Cayman Islands	11.77	Central America
France	11.77	Europe
United Kingdom	11.77	Europe
Luxembourg	11.62	Europe
Palau	11.47	Australia - Oceania
Armenia	11.45	Middle East
Montenegro	11.35	Europe
China	11.3	East Asia/Southeast Asia
Georgia	11.26	Middle East
Denmark	11.17	Europe
Montserrat	11.14	Central America
Trinidad and Tobago	11.12	Central America
Bermuda	11.1	North America
Belgium	11.03	Europe
British Virgin Islands	10.98	Central America
Netherlands	10.98	Europe
Barbados	10.96	Central America
Falkland Islands (Islas Malvinas)	10.9	South America
United Arab Emirates	10.87	Middle East
Cyprus	10.76	Europe
Isle of Man	10.69	Europe
Finland	10.49	Europe
Moldova	10.45	Europe
Switzerland	10.41	Europe
Liechtenstein	10.35	Europe
Cuba	10.25	Central America
Thailand	10.25	East Asia/Southeast Asia
Canada	10.21	North America
Malta	9.84	Europe
Guernsey	9.77	Europe
Russia	9.71	Central Asia
Austria	9.48	Europe
Lithuania	9.42	Europe
Macau	9.41	East Asia/Southeast Asia
Qatar	9.38	Middle East
Saint Helena, Ascension, and Tristan da Cunha	9.35	Africa
Belarus	9.32	Europe
Saint Barthelemy	9.27	Central America
Ukraine	9.23	Europe
Singapore	9.13	East Asia/Southeast Asia
Slovakia	9.1	Europe
Estonia	9.03	Europe
Latvia	8.96	Europe
