name	value	region
Afghanistan	"$78,557,000,000 "	South Asia
Albania	"$39,859,000,000 "	Europe
Algeria	"$495,564,000,000 "	Africa
American Samoa	"$658,000,000 "	Australia - Oceania
Andorra	"$3,327,000,000 "	Europe
Angola	"$212,285,000,000 "	Africa
Anguilla	"$175,400,000 "	Central America
Antigua and Barbuda	"$2,127,000,000 "	Central America
Argentina	"$991,523,000,000 "	South America
Armenia	"$40,384,000,000 "	Middle East
Aruba	"$4,158,000,000 "	Central America
Australia	"$1,264,514,000,000 "	Australia - Oceania
Austria	"$498,780,000,000 "	Europe
Azerbaijan	"$144,374,000,000 "	Middle East
"Bahamas, The"	"$14,450,000,000 "	Central America
Bahrain	"$73,870,000,000 "	Middle East
Bangladesh	"$775,076,000,000 "	South Asia
Barbados	"$4,488,000,000 "	Central America
Belarus	"$181,286,000,000 "	Europe
Belgium	"$596,414,000,000 "	Europe
Belize	"$2,734,000,000 "	Central America
Benin	"$38,794,000,000 "	Africa
Bermuda	"$5,228,000,000 "	North America
Bhutan	"$9,029,000,000 "	South Asia
Bolivia	"$100,445,000,000 "	South America
Bosnia and Herzegovina	"$49,224,000,000 "	Europe
Botswana	"$40,928,000,000 "	Africa
Brazil	"$3,092,216,000,000 "	South America
British Virgin Islands	"$500,000,000 "	Central America
Brunei	"$26,906,000,000 "	East Asia/Southeast Asia
Bulgaria	"$161,654,000,000 "	Europe
Burkina Faso	"$44,266,000,000 "	Africa
Burma	"$277,909,000,000 "	East Asia/Southeast Asia
Burundi	"$8,667,000,000 "	Africa
Cabo Verde	"$3,944,000,000 "	Africa
Cambodia	"$72,356,000,000 "	East Asia/Southeast Asia
Cameroon	"$94,248,000,000 "	Africa
Canada	"$1,843,053,000,000 "	North America
Cayman Islands	"$4,591,000,000 "	Central America
Central African Republic	"$4,483,000,000 "	Africa
Chad	"$25,190,000,000 "	Africa
Chile	"$459,134,000,000 "	South America
China	"$22,526,502,000,000 "	East Asia/Southeast Asia
Colombia	"$741,099,000,000 "	South America
Comoros	"$2,603,000,000 "	Africa
"Congo, Democratic Republic of the"	"$95,291,000,000 "	Africa
